source_archive,source_id,original_path,atlas_category,preserved_path,original_uncompressed_bytes,preserved_bytes,sha256,is_docs_file
Realtime-Synthetic-Call-Center-Agents-main (1).zip,Synthetic_Call_Center_Agents,Realtime-Synthetic-Call-Center-Agents-main/.github/CODE_OF_CONDUCT.md,DOCS,00_DOCS/Preserved_Source_Docs/Synthetic_Call_Center_Agents/github__CODE_OF_CONDUCT.md,444,444,9daeae709a0bd71bcfd1c96dc5822ecec5210327eff929da64b0ae7f8faf1444,True
Realtime-Synthetic-Call-Center-Agents-main (1).zip,Synthetic_Call_Center_Agents,Realtime-Synthetic-Call-Center-Agents-main/.github/ISSUE_TEMPLATE.md,DOCS,00_DOCS/Preserved_Source_Docs/Synthetic_Call_Center_Agents/github__ISSUE_TEMPLATE.md,907,907,77940eb5ac7b9522762394522f5fbcf7ded8885fe5159ba0c92576b988aeb7f5,True
Realtime-Synthetic-Call-Center-Agents-main (1).zip,Synthetic_Call_Center_Agents,Realtime-Synthetic-Call-Center-Agents-main/.github/PULL_REQUEST_TEMPLATE.md,DOCS,00_DOCS/Preserved_Source_Docs/Synthetic_Call_Center_Agents/github__PULL_REQUEST_TEMPLATE.md,936,936,e676e80255477aaaac376e51383803900f93a8321b06321e543a207aab25c2ad,True
Realtime-Synthetic-Call-Center-Agents-main (1).zip,Synthetic_Call_Center_Agents,Realtime-Synthetic-Call-Center-Agents-main/.github/copilot-instructions.md,DOCS,00_DOCS/Preserved_Source_Docs/Synthetic_Call_Center_Agents/github__copilot-instructions.md,6157,6157,d08f36d764be637f5300371b562cd1bae612ae605fe449dbdaec294ff723b8c3,True
Realtime-Synthetic-Call-Center-Agents-main (1).zip,Synthetic_Call_Center_Agents,Realtime-Synthetic-Call-Center-Agents-main/.github/instructions/project_structure_description.md,DOCS,00_DOCS/Preserved_Source_Docs/Synthetic_Call_Center_Agents/github__instructions__project_structure_description.md,2016,2016,b351b6bab5f46a9a14c3f7367fc0aaac96014bbc558713e06349856573bb003e,True
Realtime-Synthetic-Call-Center-Agents-main (1).zip,Synthetic_Call_Center_Agents,Realtime-Synthetic-Call-Center-Agents-main/.github/instructions/python.instructions.md,DOCS,00_DOCS/Preserved_Source_Docs/Synthetic_Call_Center_Agents/github__instructions__python.instructions.md,2117,2117,d649c2f3679b761b4723de57d93e184bd021d65e6c578e2a80cb14c383392ffe,True
Realtime-Synthetic-Call-Center-Agents-main (1).zip,Synthetic_Call_Center_Agents,Realtime-Synthetic-Call-Center-Agents-main/CONTRIBUTING.md,DOCS,00_DOCS/Preserved_Source_Docs/Synthetic_Call_Center_Agents/CONTRIBUTING.md,3941,3941,507a9df04ba09345278f3ba240c42788b643ebd28e3019967c30e5bc5951a113,True
Realtime-Synthetic-Call-Center-Agents-main (1).zip,Synthetic_Call_Center_Agents,Realtime-Synthetic-Call-Center-Agents-main/LICENSE.md,DOCS,00_DOCS/Preserved_Source_Docs/Synthetic_Call_Center_Agents/LICENSE.md,1140,1140,d9a1b1e30d633d5732ea18e3cba9538d293ebc53e1a9e4e96ab739e0c5c4f1cb,True
Realtime-Synthetic-Call-Center-Agents-main (1).zip,Synthetic_Call_Center_Agents,Realtime-Synthetic-Call-Center-Agents-main/README.md,DOCS,00_DOCS/Preserved_Source_Docs/Synthetic_Call_Center_Agents/README.md,11119,11119,b7979e5c4e28541c8e4cd0310f8bb5195d82f1f706ae46579ae67c02097554e6,True
Realtime-Synthetic-Call-Center-Agents-main (1).zip,Synthetic_Call_Center_Agents,Realtime-Synthetic-Call-Center-Agents-main/docs/AGENT_FLOW_DIAGRAM.md,DOCS,00_DOCS/Preserved_Source_Docs/Synthetic_Call_Center_Agents/docs__AGENT_FLOW_DIAGRAM.md,6913,6913,db4acaa9fa0335d5ccc9f544005700447c3b6fb5e68dcdeb75340de2f3a2affa,True
