source_archive,source_id,original_path,atlas_category,preserved_path,original_uncompressed_bytes,preserved_bytes,sha256,is_docs_file
Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main/.gitattributes,Global_Multi_Accent,01_ACCENT_REGION_ATLAS/Global_Multi_Accent/GMU_Accent_Classification/gitattributes,66,66,1a1dbe176bc233b499d35a57db7513f2941c99ab9759f177830c9149be99005b,False
Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main/Ch24/Download_GMU_SAA.ipynb,Global_Multi_Accent,01_ACCENT_REGION_ATLAS/Global_Multi_Accent/GMU_Accent_Classification/Ch24__Download_GMU_SAA.ipynb,20296,20296,3047fa7f192db500fb8a808ad7de7765a14ceb524c108e771fb989256fb028f4,False
Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main/Ch24/accent_classification/START_HERE_Accent_Classification.ipynb,Global_Multi_Accent,01_ACCENT_REGION_ATLAS/Global_Multi_Accent/GMU_Accent_Classification/Ch24__accent_classification__START_HERE_Accent_Classification.ipynb,264723,264723,95190db19ba5062c05bd76ea1ee0f63d9e8f17b51e0c7d25eaae0615dcfca79e,False
Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main/Ch24/accent_classification/__init__.py,Global_Multi_Accent,01_ACCENT_REGION_ATLAS/Global_Multi_Accent/GMU_Accent_Classification/Ch24__accent_classification____init__.py,1459,1459,f0f4f1774aba5c05d69d087cf63b54095d8d2c158933d42fd8d18ae62c1118e6,False
Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main/Ch24/accent_classification/__pycache__/__init__.cpython-312.pyc,Global_Multi_Accent,01_ACCENT_REGION_ATLAS/Global_Multi_Accent/GMU_Accent_Classification/Ch24__accent_classification____pycache______init__.cpython-312.pyc,1402,1402,a5932e18091a2712dc8d5656bad5c41ca7455782393ae48d7393cd83aa8d5a8b,False
Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main/Ch24/accent_classification/__pycache__/config.cpython-312.pyc,Global_Multi_Accent,01_ACCENT_REGION_ATLAS/Global_Multi_Accent/GMU_Accent_Classification/Ch24__accent_classification____pycache____config.cpython-312.pyc,2014,2014,de6fe8da0dd548470140a82c2d54bac7aab381aea0391cf5a6f3f99f00edd227,False
Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main/Ch24/accent_classification/__pycache__/data_loading.cpython-312.pyc,Global_Multi_Accent,01_ACCENT_REGION_ATLAS/Global_Multi_Accent/GMU_Accent_Classification/Ch24__accent_classification____pycache____data_loading.cpython-312.pyc,4441,4441,c779415a7ec8703d05ded03edd4f6003b56d7ece018eb1662fccff050774f62f,False
Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main/Ch24/accent_classification/__pycache__/evaluation.cpython-312.pyc,Global_Multi_Accent,01_ACCENT_REGION_ATLAS/Global_Multi_Accent/GMU_Accent_Classification/Ch24__accent_classification____pycache____evaluation.cpython-312.pyc,5349,5349,cca8d16174d34900fcd9bdf669d43e6bd77950f7e8ba63745ee58fdb28649b9c,False
Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main/Ch24/accent_classification/__pycache__/features.cpython-312.pyc,Global_Multi_Accent,01_ACCENT_REGION_ATLAS/Global_Multi_Accent/GMU_Accent_Classification/Ch24__accent_classification____pycache____features.cpython-312.pyc,8302,8302,42417b258f805b52f3be3d40a346aa8c596f693c90da5a7315720e6644befb68,False
Accent-Classification--GMU-Speech-Accent-Archive--main (1).zip,GMU_Accent_Classification,Accent-Classification--GMU-Speech-Accent-Archive--main/Ch24/accent_classification/__pycache__/models.cpython-312.pyc,Global_Multi_Accent,01_ACCENT_REGION_ATLAS/Global_Multi_Accent/GMU_Accent_Classification/Ch24__accent_classification____pycache____models.cpython-312.pyc,5078,5078,a524107bdae9a1117c864d1e7d41c94cde462d5850e6d81795f2a53c15feaf1f,False
